
TARGET_TYPE, METRIC_NAME, METRIC_COLUMN, METRIC_CATEGORY_NAME
cluster|CRSAlert|clusterwareErrStack|Error         
cluster|CRSAlert|clusterwareErrStack|Error         
cluster|CRSAlert|nodeErrStack|Error                
cluster|CRSAlert|nodeErrStack|Error                
cluster|CRSAlert|ocrErrStack|Error                 
cluster|CRSAlert|ocrErrStack|Error                 
cluster|CRSAlert|votingErrStack|Error              
cluster|CRSAlert|votingErrStack|Error              
cluster|CRSStatus|CRS_status|Availability          
cluster|CRSStatus|CRS_status|Availability          
cluster|crs_event12g|crs_event_composite_status|Error                                                                               
cluster|crs_event12g|crs_event_composite_status|Error                                                                               
cluster|resource_status|crs_event_composite_status|Availability                                                                     
cluster|resource_status|crs_event_composite_status|Availability                                                                     
cluster|wlm_event|wlm_qosm_compliance_state|Error  
cluster|wlm_event|wlm_qosm_compliance_state|Error  
cluster|wlm_event|wlm_qosm_mpa_risk_state|BusinessKPI                                                                               
cluster|wlm_event|wlm_qosm_mpa_risk_state|BusinessKPI                                                                               
cluster|wlm_event|wlm_qosm_state|Error             
cluster|wlm_event|wlm_qosm_state|Error             
has|CRSAlert|clusterwareErrStack|Error             
has|CRSAlert|nodeErrStack|Error                    
has|CRSAlert|ocrErrStack|Error                     
has|CRSAlert|olrErrStack|Error                     
has|CRSAlert|resourceErrStack|Error                
has|Response|Status|Availability                   
has|adrAlertLogIncidentError|genericIncidentErrStack|Fault                                                                          
has|adrAlertLogIncidentError|genericInternalErrStack|Fault                                                                          
has|adrAlertLogOperationalError|genericOperationalErrStack|Fault                                                                    
has|adrAlertLogOperationalError|userDefinedErrorErrStack|Error                                                                      
has|adrAlertLogOperationalError|userDefinedWarningErrStack|Error                                                                    
host|BufferActivity|BufferActivitybread|Load       
host|BufferActivity|BufferActivitybread|Load       
host|BufferActivity|BufferActivitybwrit|Load       
host|BufferActivity|BufferActivitybwrit|Load       
host|BufferActivity|BufferActivitylread|Load       
host|BufferActivity|BufferActivitylread|Load       
host|BufferActivity|BufferActivitylwrit|Load       
host|BufferActivity|BufferActivitylwrit|Load       
host|BufferActivity|BufferActivitypread|Load       
host|BufferActivity|BufferActivitypread|Load       
host|BufferActivity|BufferActivitypwrit|Load       
host|BufferActivity|BufferActivitypwrit|Load       
host|BufferActivity|BufferActivityrcache|Utilization                                                                                
host|BufferActivity|BufferActivityrcache|Utilization                                                                                
host|BufferActivity|BufferActivitywcache|Utilization                                                                                
host|BufferActivity|BufferActivitywcache|Utilization                                                                                
host|CPUUsage|cpuUtil|Utilization                  
host|CPUUsage|cpuUtil|Utilization                  
host|CPUUsage|systemTimePct|Utilization            
host|CPUUsage|systemTimePct|Utilization            
host|CPUUsage|userTimePct|Utilization              
host|CPUUsage|userTimePct|Utilization              
host|DiskActivitySummary|totiosmade|Load           
host|DiskActivitySummary|totiosmade|Load           
host|DiskActivity|DiskActivityavserv|Load          
host|DiskActivity|DiskActivityavserv|Load          
host|DiskActivity|DiskActivityavwait|Load          
host|DiskActivity|DiskActivityavwait|Load          
host|DiskActivity|DiskActivitybusy|Utilization     
host|DiskActivity|DiskActivitybusy|Utilization     
host|DiskActivity|diskActivReadsBlks|Load          
host|DiskActivity|diskActivReadsBlks|Load          
host|DiskActivity|diskActivReadsPerSec|Load        
host|DiskActivity|diskActivReadsPerSec|Load        
host|DiskActivity|diskActivWritesBlks|Load         
host|DiskActivity|diskActivWritesBlks|Load         
host|DiskActivity|diskActivWritesPerSec|Load       
host|DiskActivity|diskActivWritesPerSec|Load       
host|FileMonitoring|file_attribute_not_found|Error 
host|FileMonitoring|file_attribute_not_found|Error 
host|FileMonitoring|file_permissions|Security      
host|FileMonitoring|file_permissions|Security      
host|FileMonitoring|file_sizechangerate|Load       
host|FileMonitoring|file_sizechangerate|Load       
host|FileMonitoring|file_size|Capacity             
host|FileMonitoring|file_size|Capacity             
host|Filesystems|available|Utilization             
host|Filesystems|available|Utilization             
host|Filesystems|pctAvailable|Utilization          
host|Filesystems|pctAvailable|Utilization          
host|LPAR Performance on AIX|entitlement_consumed|Utilization                                                                       
host|LPAR Performance on AIX|entitlement_consumed|Utilization                                                                       
host|LPAR Performance on AIX|idle_percnt|Utilization                                                                                
host|LPAR Performance on AIX|idle_percnt|Utilization                                                                                
host|LPAR Performance on AIX|phys_proc_consumed|Load                                                                                
host|LPAR Performance on AIX|phys_proc_consumed|Load                                                                                
host|LPAR Performance on AIX|sys_percnt|Utilization
host|LPAR Performance on AIX|sys_percnt|Utilization
host|LPAR Performance on AIX|user_percnt|Utilization                                                                                
host|LPAR Performance on AIX|user_percnt|Utilization                                                                                
host|LPAR Performance on AIX|wait_percnt|Utilization                                                                                
host|LPAR Performance on AIX|wait_percnt|Utilization                                                                                
host|Load|activeLogicalMem|Utilization             
host|Load|activeLogicalMem|Utilization             
host|Load|activeMem|Utilization                    
host|Load|cpuIOWait|Utilization                    
host|Load|cpuIOWait|Utilization                    
host|Load|cpuKernel|Utilization                    
host|Load|cpuKernel|Utilization                    
host|Load|cpuLoad_15min|Load                       
host|Load|cpuLoad_15min|Load                       
host|Load|cpuLoad_1min|Load                        
host|Load|cpuLoad_1min|Load                        
host|Load|cpuLoad|Load                             
host|Load|cpuLoad|Load                             
host|Load|cpuUser|Utilization                      
host|Load|cpuUser|Utilization                      
host|Load|cpuUtil|Utilization                      
host|Load|cpuUtil|Utilization                      
host|Load|logicMemfreePct|Utilization              
host|Load|logicMemfreePct|Utilization              
host|Load|memUsedPct|Utilization                   
host|Load|memUsedPct|Utilization                   
